Phase,Week,Focus,Key Actions,Review Metric
Foundation,1,Sleep + baselines,Fixed wake time; morning light daily; log keystone metric; plan blood panel,Sleep consistency
Foundation,2,Sleep + strength,Wind-down runway; caffeine curfew; strength 2x,Sleep score trend
Foundation,3,Energy,Protein-first mornings; post-meal walks,Morning energy (1-10)
Foundation,4,Deploy the 30-min OS,Run full daily operating system; 30-day review,Resting HR / HRV trend
Build,5,Aerobic base,Add Zone 2 sessions; keep strength 2-3x,VO2 / recovery
Build,6,Nutrition framework,Protein + plants default; sensible eating window,Body comp / energy
Build,7,Recovery,Daily down-regulation (breath); real breaks,HRV / stress
Build,8,Mid-point review,Re-check wearable trends; adjust; 60-day review,All wearable trends
Optimise,9,Cognitive edge,Add deep-work blocks; digital hygiene,Focus / output
Optimise,10,Refine the stack,Cut noise; keep only what earns its place,Spend vs. value
Optimise,11,Re-test,Blood panel re-test with physician,Biomarker trend
Optimise,12,Lock it in,Cement winning defaults; plan next 90 days; graduate,90-day comparison
NOTE,,Educational only - not medical advice. Re-test and interpret labs with a qualified physician.,,
