Marker,Category,Baseline (Date/Value),90-Day Re-Test,12-Month,Notes / Discuss with physician
Fasting glucose,Metabolic,,,,General metabolic health
HbA1c,Metabolic,,,,Longer-term glucose trend
Lipid panel (incl. ApoB),Cardiometabolic,,,,Discuss ApoB with your doctor
hs-CRP,Inflammation,,,,General inflammation marker
Vitamin D,Micronutrient,,,,Common insufficiency
Ferritin / iron,Micronutrient,,,,
Thyroid (TSH),Hormonal,,,,As clinically appropriate
Testosterone / hormonal panel,Hormonal,,,,As clinically appropriate
Resting heart rate,Wearable,,,,Trend over weeks
HRV,Wearable,,,,Recovery proxy
VO2 max (est.),Fitness,,,,From wearable or test
Grip strength / strength benchmark,Fitness,,,,Simple strength proxy
Body composition,Fitness,,,,DEXA or scale estimate
NOTE,,"Educational only. Order, interpret, and act on labs ONLY with a qualified physician. This is not medical advice.",,,
