Day,Week,Focus,Today's Action,Done?
1,Week 1 - Foundation,Positioning,Draft 10 positioning statements & pick one,
2,Week 1 - Foundation,Positioning,Update bio/profiles to match,
3,Week 1 - Foundation,AI Stack,Set up AI HQ + 4-tool stack,
4,Week 1 - Foundation,Prompting,Practice Role+Context+Format on 1 task,
5,Week 1 - Foundation,Offer,Draft your signature offer,
6,Week 1 - Foundation,Review,Add 5 prompts to your library,
7,Week 1 - Foundation,Rest/Plan,Plan week 2 leads,
8,Week 2 - Pipeline,Leads,Build list of 25 qualified leads,
9,Week 2 - Pipeline,Outreach,Send 3 warm outreach messages,
10,Week 2 - Pipeline,Content,Post 1 (Educate),
11,Week 2 - Pipeline,Outreach,Send 3 more messages + follow-ups,
12,Week 2 - Pipeline,Content,Post 2 (Prove),
13,Week 2 - Pipeline,Outreach,Send 4 messages,
14,Week 2 - Pipeline,Review,Follow up everyone; log pipeline,
15,Week 3 - Conversion,Calls,Book & run discovery call #1,
16,Week 3 - Conversion,Pricing,Build 3-tier pricing in calculator,
17,Week 3 - Conversion,Proposals,Send proposal #1,
18,Week 3 - Conversion,Content,Post 3 (Connect),
19,Week 3 - Conversion,Calls,Book & run discovery call #2,
20,Week 3 - Conversion,Proposals,Send proposal #2 + follow up #1,
21,Week 3 - Conversion,Close,Close first client / take deposit,
22,Week 4 - Deliver,Onboarding,Send onboarding kit,
23,Week 4 - Deliver,Delivery,Do the work + AI-assisted draft,
24,Week 4 - Deliver,Updates,Send proactive progress update,
25,Week 4 - Deliver,Delivery,Refine & prep handover,
26,Week 4 - Deliver,Handover,Deliver + walkthrough,
27,Week 4 - Deliver,Referrals,Ask for testimonial + referral,
28,Week 4 - Deliver,Money,Set up Income & GST tracker + tax account,
29,Week 4 - Deliver,Content,Post case study of the win,
30,Week 4 - Deliver,Next 90,Plan next 90 days & repeat the cycle,
